#NAME	CHROM	STRAND	TX_START	TX_END	EXON_START	EXON_END	CDS_START	CDS_END
ENST00000378466.9	chr1	-	2508536	2526596	2508536,2509861,2510056,2510677,2511337,2511627,2512887,2514001,2514353,2515561,2518163,2518515,2519142,2519800,2520321,2520722,2521100,2521717,2526463,	2509060,2509930,2510157,2510782,2511387,2511683,2513039,2514089,2514466,2515717,2518264,2518597,2519324,2519954,2520414,2520906,2521315,2521800,2526596,	2508849	2526587
ENST00000620676.6	chr1	+	12230029	12512047	12230029,12234190,12242512,12244245,12244536,12249222,12253721,12256332,12256986,12257934,12260692,12260947,12261900,12266880,12267844,12268705,12270993,12273002,12275824,12279498,12282704,12288222,12290997,12293523,12299201,12304505,12308430,12311453,12311812,12314114,12318071,12319496,12321808,12322535,12323705,12327647,12329828,12333225,12335704,12338230,12341779,12342898,12345373,12346604,12348822,12349163,12353973,12355898,12356397,12358458,12362719,12363071,12368467,12369466,12373749,12378427,12379487,12382975,12385259,12386184,12400180,12401607,12403824,12415086,12416659,12455997,12460200,12497499,12506852,12508892,	12230120,12234363,12242590,12244436,12244617,12249339,12253826,12256503,12257087,12258103,12260794,12261149,12262080,12267011,12267920,12268876,12271124,12273135,12278038,12279650,12283736,12288313,12291124,12293704,12299384,12304728,12308641,12311625,12311925,12314327,12318337,12319630,12321964,12322746,12323780,12327854,12329918,12333366,12335827,12338305,12341885,12343051,12345509,12346652,12348973,12349374,12354221,12356090,12356524,12358601,12362850,12363247,12368591,12369702,12373858,12378591,12379596,12383155,12385373,12386334,12400330,12401704,12403973,12415221,12416827,12456130,12460396,12497631,12507093,12512047,	12234266	12509021
ENST00000294435.8	chr1	+	9997227	10016021	9997227,10007569,10008172,10015781,	9997331,10007748,10008274,10016021,	9997258	10015829
ENST00000377411.5	chr1	-	9100304	9129102	9100304,9105485,9111275,9128644,	9104634,9105680,9111489,9129102,	9104421	9129027
ENST00000375647.5	chr1	+	22451850	22531154	22451850,22489879,22491399,22501491,22502298,22506048,22508000,22508529,22509099,22511178,22511675,22512923,22517299,22520060,22521495,22522376,22524217,22526201,	22452004,22490645,22491533,22501684,22502441,22506241,22508137,22508731,22509233,22511347,22512134,22513130,22517464,22520275,22521658,22522463,22524444,22531154,	22489948	22526393
ENST00000378156.9	chr1	-	5862810	5992425	5862810,5863889,5864337,5865101,5866372,5867029,5867739,5873251,5874470,5874873,5877092,5880113,5887285,5890867,5904616,5905291,5905631,5907114,5909151,5927648,5933146,5947103,5948069,5952699,5961793,5967298,5969086,5978269,5986154,5992243,	5863405,5864033,5864517,5865273,5866458,5867115,5867896,5873335,5874657,5875100,5877298,5880239,5887466,5891028,5904804,5905483,5905783,5907222,5909213,5927787,5933329,5947230,5948251,5952836,5961949,5967363,5969259,5978413,5986327,5992425,	5863267	5986289
ENST00000378453.4	chr1	-	2528744	2530263	2528744,2529845,2530110,	2529749,2530011,2530263,	2529471	2530164
ENST00000373839.8	chr1	+	28369739	28500364	28369739,28407409,28459084,28460211,28465684,28466381,28473553,28476106,28480450,28489169,28490950,28491649,28493014,28496533,	28369825,28407463,28459258,28460292,28465849,28466768,28474151,28476291,28480604,28489225,28491012,28491787,28493091,28500364,	28407447	28496546
ENST00000263980.8	chr1	-	27098808	27155125	27098808,27101202,27101724,27102015,27102384,27102672,27103222,27105884,27107647,27109526,27113825,27153982,	27100644,27101275,27101826,27102130,27102558,27102743,27103312,27106087,27107865,27109777,27114286,27155125,	27100309	27154334
ENST00000374282.8	chr1	-	25959766	25998063	25959766,25972557,25974479,25976681,25982363,25983945,25984459,25988230,25989447,25990726,25998024,	25962083,25972712,25974650,25976773,25982477,25984087,25984528,25988327,25989601,25990863,25998063,	25961991	25990816
ENST00000378191.5	chr1	+	4654608	4792534	4654608,4711899,4769852,4772279,4774426,4782544,	4655454,4712699,4769940,4772525,4774558,4792534,	4655425	4774496
ENST00000373857.8	chr1	-	28147165	28176690	28147165,28176591,	28151059,28176690,	28149995	28151021
ENST00000302692.7	chr1	+	9539464	9585173	9539464,9553625,9567283,9570257,9573345,9579953,9582298,	9539747,9553805,9567361,9570358,9573412,9580234,9585173,	9539691	9582498
ENST00000373366.3	chr1	+	34781213	34786364	34781213,34784737,	34781778,34786364,	34784762	34785572
ENST00000376030.7	chr1	+	14598684	15118043	14598684,14960683,15034748,15043988,15056090,15060171,15063571,15065629,15094179,15094814,15101542,15103358,15104022,15112426,15114470,	14599223,14960875,15034885,15044159,15056280,15060302,15063622,15065753,15094385,15094933,15101774,15103460,15104189,15112541,15118043,	14598997	15114632
ENST00000376259.7	chr1	+	12166990	12209220	12166990,12188795,12190956,12191773,12192430,12192862,12193954,12194583,12201966,12206739,	12167169,12188895,12191085,12191923,12192524,12193098,12194032,12194618,12202171,12209220,	12167091	12207017
ENST00000343090.11	chr1	+	10032957	10181239	10032957,10072027,10095460,10101107,10102947,10105515,10106196,10117458,10119512,10121961,10126793,10129391,10130499,10130714,10132368,10134987,10137066,10144939,10146962,10149183,10151325,10158355,10161141,10168135,10171137,10178643,10179415,10179894,	10033694,10072214,10095596,10101195,10103092,10105744,10106583,10117600,10119613,10122076,10126877,10129448,10130616,10130813,10132482,10135186,10137205,10145039,10147090,10149282,10151561,10158482,10161286,10168270,10171329,10178818,10179562,10181239,	10033670	10179953
ENST00000375108.4	chr1	+	20070193	20091911	20070193,20084820,20086082,20089788,20090567,	20070465,20084870,20086227,20089895,20091911,	20084830	20090689
ENST00000373779.8	chr1	+	29236521	29326800	29236521,29255274,29258504,29259260,29259448,29259869,29260609,29275447,29279011,29279455,29280038,29282675,29283939,29284730,29291868,29303854,29304773,29305351,29310743,29311455,29311642,29312551,29315371,29316001,29317747,29320684,29323370,29323630,29325190,29325598,	29236717,29255406,29258776,29259342,29259564,29260044,29260903,29275756,29279121,29279657,29280141,29282949,29283976,29284869,29292026,29304045,29304849,29305428,29310780,29311553,29311759,29312706,29315507,29316151,29317921,29320825,29323496,29323788,29325326,29326800,	29236644	29325658
ENST00000338513.1	chr1	+	34755046	34758512	34755046,34757306,	34755195,34758512,	34757330	34758149
ENST00000373210.4	chr1	+	35808015	35857890	35808015,35816881,35822861,35825312,35825678,35825925,35826747,35831426,35831811,35832056,35832436,35833989,35835833,35841164,35841615,35850156,35850853,35853496,	35808435,35817047,35822982,35825494,35825815,35826060,35826835,35831574,35831931,35832185,35832570,35834174,35835993,35841480,35841750,35850258,35851053,35857890,	35808416	35853602
ENST00000609129.2	chr1	+	32465071	32496686	32465071,32470583,32480890,32485100,	32465105,32471615,32481069,32496686,	32470624	32485415
ENST00000377022.8	chr1	-	10636603	10796646	10636603,10642858,10643159,10644916,10646127,10647800,10649069,10649282,10650691,10650940,10653376,10654418,10655648,10656645,10658507,10659701,10665082,10693873,10705491,10760700,10796563,	10640059,10643000,10643311,10645088,10646326,10648139,10649192,10649437,10650755,10651076,10654218,10654591,10655813,10656736,10658576,10660536,10665571,10693912,10705544,10760857,10796646,	10638944	10693889
ENST00000652629.1	chr1	+	37556939	37566857	37556939,37557602,37559326,37561556,37562080,37565025,	37557075,37557748,37559496,37561735,37562245,37566857,	37556994	37565058
ENST00000373001.4	chr1	-	38838197	38859772	38838197,38845938,38851614,38852373,38855707,38856878,38859409,	38839704,38846087,38851757,38852488,38855907,38857082,38859772,	38839555	38859646
ENST00000373091.8	chr1	-	36795526	37034515	36795526,36804986,36806103,36817059,36819735,36825602,36841735,36850310,36853614,36859107,36859843,36869747,36872187,36880633,36890919,37033993,	36802045,36805237,36806326,36817277,36819854,36825826,36841939,36850424,36853722,36859251,36860017,36869801,36872369,36880891,36891096,37034515,	36801853	37034108
ENST00000375105.8	chr1	-	20111938	20119536	20111938,20115506,20116332,20119458,	20114259,20115613,20116477,20119536,	20114116	20119498
ENST00000372581.2	chr1	+	42153409	42155820	42153409,42154679,42155534,	42153540,42154866,42155820,	42153450	42155593
ENST00000375436.9	chr1	-	17406759	17439677	17406759,17409973,17412121,17413072,17413536,17416479,17420713,17422202,17422704,17425540,17429105,17438229,17439544,	17409194,17410051,17412194,17413178,17413717,17416646,17420828,17422291,17422836,17425684,17429199,17438522,17439677,	17409092	17438514
ENST00000373237.4	chr1	-	35599540	35641526	35599540,35605232,35609245,35631273,35636309,35641341,	35603374,35605282,35609408,35631344,35636432,35641526,	35603269	35641432
ENST00000619609.1	chr1	+	17372195	17401699	17372195,17373055,17375426,17379919,17381046,17381966,17388380,17388776,17392113,17393974,17394299,17394950,17395539,17397070,17398685,17401204,	17372361,17373233,17375499,17379987,17381164,17382092,17388559,17388880,17392225,17394082,17394454,17395107,17395663,17397141,17398847,17401699,	17372245	17401435
ENST00000375448.4	chr1	+	17308196	17364004	17308196,17330968,17333942,17336158,17338037,17339687,17341942,17342298,17346027,17347940,17354532,17355982,17356356,17358837,17359279,17363521,	17308314,17331149,17334009,17336226,17338155,17339813,17342121,17342402,17346139,17348048,17354687,17356127,17356459,17358908,17359408,17364004,	17308222	17363752
ENST00000372990.6	chr1	-	38885806	38941830	38885806,38887962,38893163,38895968,38911321,38915561,38918966,38941681,	38886683,38888024,38893224,38896069,38911434,38915710,38919337,38941830,	38886506	38919212
ENST00000335282.5	chr1	+	43147903	43156396	43147903,43150760,43152827,43156205,	43148084,43150820,43152931,43156396,	43147951	43156310
ENST00000314607.11	chr1	+	35268708	35422058	35268708,35325359,35358924,35361193,35361618,35370028,35370371,35381258,35381545,35385441,35386073,35387002,35387453,35388909,35389947,35392211,35392646,35393594,35396551,35397376,35398412,35398863,35399481,35405022,35405372,35408007,35413971,35415465,35418442,35419469,	35269085,35325405,35359446,35361255,35361789,35370113,35370627,35381433,35381758,35385592,35386189,35387278,35387604,35389082,35390098,35392352,35392684,35393739,35396670,35397545,35398466,35399043,35399576,35405194,35405468,35408159,35414083,35415714,35418572,35422058,	35269046	35419674
ENST00000270815.5	chr1	-	35713876	35718884	35713876,35718706,	35716326,35718884,	35715634	35716321
ENST00000375406.2	chr1	+	17755332	17827063	17755332,17822984,17825766,	17755504,17823356,17827063,	17823008	17826516
ENST00000372771.5	chr1	+	40161386	40240921	40161386,40189054,40190771,40195631,40202411,40222573,40231516,40235791,	40161636,40189209,40190853,40195764,40202614,40222710,40231658,40240921,	40161399	40240444
ENST00000318121.8	chr1	-	35732111	35769978	35732111,35736913,35737338,35737991,35738454,35739135,35739364,35743140,35743454,35745450,35746765,35747906,35748404,35749466,35749632,35751249,35753744,35760341,35761095,35761997,35762403,35763159,35764265,35765217,35769846,	35736606,35737075,35737421,35738097,35738582,35739257,35739529,35743241,35743530,35745562,35746992,35748061,35748604,35749531,35749811,35751506,35753936,35760916,35761204,35762070,35762481,35763321,35764714,35765326,35769978,	35736498	35769870
ENST00000373062.8	chr1	-	37566815	37595937	37566815,37567672,37568274,37568850,37574342,37574664,37575594,37576427,37582222,37582777,37583866,37587310,37590705,37592711,37593761,37595758,	37567007,37567764,37568357,37569302,37574456,37574823,37575699,37576556,37582336,37582936,37583933,37587495,37590845,37592806,37593846,37595937,	37566857	37595822
ENST00000342280.5	chr1	+	34792998	34795747	34792998,34794196,	34793068,34795747,	34794213	34795212
ENST00000378531.8	chr1	-	2321252	2391554	2321252,2324096,2336468,2336716,2357431,2358591,2372480,2374460,2384977,2385806,2387418,2388238,2389924,2391457,	2321579,2324143,2336548,2336850,2357598,2358715,2372591,2374557,2385065,2385897,2387529,2388337,2389996,2391554,	2321385	2391533
ENST00000371276.9	chr1	-	54779711	54801323	54779711,54782324,54785982,54786956,54787710,54788041,54800596,	54781779,54782477,54786144,54787075,54787826,54788097,54801323,	54781245	54801163
ENST00000397572.5	chr1	-	38862492	38873348	38862492,38866879,38867561,38873017,38873290,	38864714,38867009,38867610,38873090,38873348,	38864672	38873305
ENST00000373347.6	chr1	-	34865435	34929650	34865435,34867047,34867535,34868604,34884977,34885477,34886071,34899668,34900067,34904276,34907354,34929450,	34866301,34867191,34867627,34869089,34885063,34885791,34886285,34899741,34900273,34905434,34907437,34929650,	34866085	34905383
ENST00000372684.8	chr1	-	40620679	40665682	40620679,40628809,40629270,40633068,40635915,40641708,40647667,40665393,	40626729,40628949,40629372,40633181,40636057,40641956,40647842,40665682,	40626519	40641925
ENST00000521580.3	chr1	-	34850361	34859749	34850361,34859676,	34855982,34859749,	34855701	34855977
ENST00000294360.5	chr1	-	53214098	53220634	53214098,53215990,53216781,53218171,53218413,53218866,53220260,53220569,	53214736,53216056,53216859,53218203,53218495,53218923,53220344,53220634,	53214661	53220575
ENST00000302250.7	chr1	-	54609180	54623525	54609180,54610411,54611605,54612485,54614699,54616019,54619863,54623277,	54609941,54610555,54611745,54612710,54614859,54616172,54620007,54623525,	54609270	54623395
ENST00000428468.6	chr1	+	51617091	51789219	51617091,51651990,51669433,51714002,51745535,51746709,51748368,51750144,51756319,51760689,51761866,51765821,51772069,51772604,51776832,51781163,51782558,51783914,51784263,51784441,51785807,51786525,51787352,51787714,	51617221,51652041,51669512,51714079,51745631,51746757,51748398,51750195,51756358,51760780,51761971,51765981,51772182,51772723,51776918,51781335,51782643,51784025,51784327,51784582,51785886,51786617,51787488,51789219,	51617110	51787786
ENST00000371279.4	chr1	-	54756897	54764523	54756897,54764460,	54759190,54764523,	54757736	54759161
ENST00000294353.7	chr1	+	52726452	52827336	52726452,52756457,52771019,52779852,52784876,52790002,52796291,52796733,52801818,52802091,52813535,52813859,52816531,52821438,	52726683,52756623,52771774,52779993,52785053,52790067,52796391,52796784,52801980,52802139,52813733,52813912,52816629,52827336,	52726653	52821626
ENST00000371281.4	chr1	+	54715860	54742657	54715860,54716599,54717491,54721162,54722674,54728345,54731485,54733628,54737581,54741410,	54716019,54716717,54717653,54721240,54722799,54728432,54731700,54733710,54737664,54742657,	54715908	54741510
ENST00000372299.4	chr1	+	44118820	44135140	44118820,44129352,44130511,44133237,	44118988,44130196,44130756,44135140,	44118907	44130753
ENST00000371250.4	chr1	-	56494760	56579563	56494760,56511975,56523822,56524276,56536954,56578877,	56496676,56512152,56523880,56524554,56537112,56579563,	56496553	56579016
ENST00000296215.8	chr1	-	37534448	37554293	37534448,37540156,37552644,37554005,	37538012,37540755,37552747,37554293,	37537750	37554229
ENST00000371486.4	chr1	+	53196823	53214197	53196823,53200718,53202322,53210014,53213263,	53197095,53200799,53202429,53211319,53214197,	53196943	53213592
ENST00000361346.6	chr1	-	42176547	42335235	42176547,42181916,42188736,42189302,42191302,42194889,42199101,42205761,42227882,42265114,42278347,42311049,42335058,	42179825,42182024,42188928,42189404,42191719,42195064,42199230,42205863,42227966,42265189,42278672,42311110,42335235,	42179712	42311093
ENST00000257177.9	chr1	-	52423274	52553092	52423274,52425348,52431012,52435364,52436754,52438219,52445786,52445956,52446264,52446589,52458335,52461133,52461512,52461711,52465069,52468180,52471951,52474831,52477707,52481422,52481803,52488908,52490731,52493610,52495426,52497005,52509595,52515890,52525562,52552930,	52424002,52425507,52431460,52435465,52436978,52438335,52445869,52446004,52446442,52446667,52458449,52461223,52461616,52461769,52465173,52468267,52472102,52475535,52477882,52481635,52481923,52489035,52490801,52493662,52495515,52497183,52509712,52516054,52526373,52553092,	52423937	52526280
ENST00000634670.1	chr1	-	44137820	44141631	44137820,44138663,	44138011,44141631,	44137823	44141631
ENST00000371470.8	chr1	-	53226899	53238518	53226899,53228871,53233541,53235576,53238360,	53227144,53228954,53233652,53235635,53238518,	53227047	53238448
ENST00000371761.4	chr1	+	50970244	50974634	50970244,50973892,	50970497,50974634,	50970368	50974267
ENST00000371201.3	chr1	-	59990393	60073770	59990393,59997608,60001076,60010391,60025400,60033475,60037991,60039916,60040990,60055203,60072536,60073689,	59990833,59997816,60001156,60010456,60025498,60033641,60038107,60040180,60041131,60055438,60072670,60073770,	59990675	60072643
ENST00000359600.6	chr1	-	45016398	45206605	45016398,45020065,45020624,45034311,45035687,45036038,45038935,45040391,45043218,45051073,45058608,45060098,45087880,45205755,	45019316,45020147,45020788,45034469,45035823,45036299,45039073,45040538,45043395,45051253,45058759,45060247,45088237,45206605,	45018456	45206350
ENST00000371226.8	chr1	-	58480718	58546726	58480718,58506059,58527260,58530600,58533952,58534157,58536512,58538794,58546702,	58481174,58506209,58527335,58530729,58534060,58534331,58536741,58539310,58546726,	58480967	58539294
ENST00000235345.6	chr1	-	66999349	67054148	66999349,67009084,67020368,67021534,67042235,67047264,67049781,67050432,67052011,67052770,67052955,67053810,	67004448,67009167,67020447,67021602,67042328,67047367,67049850,67050504,67052079,67052857,67052989,67054148,	67004342	67054013
ENST00000306052.12	chr1	-	53242363	53328070	53242363,53249379,53250689,53255116,53257239,53258318,53260463,53262067,53262445,53264168,53266472,53271027,53271226,53275630,53276691,53280586,53289566,53326872,53327788,	53247056,53249556,53250862,53255185,53257464,53258471,53260605,53262207,53262564,53264396,53266647,53271153,53271346,53275753,53277078,53280715,53289689,53326992,53328070,	53247020	53327912
ENST00000234827.6	chr1	+	54053607	54106082	54053607,54054380,54068755,54088596,54096284,	54053758,54054524,54068897,54088790,54106082,	54054422	54096470
ENST00000339950.5	chr1	+	62437048	62451804	62437048,62439798,62441487,62442194,62443158,62444737,62447340,62448464,62450245,	62437400,62440037,62441608,62442299,62443319,62445429,62447511,62448666,62451804,	62439867	62450978
ENST00000354567.7	chr1	+	77282018	77559966	77282018,77286940,77293792,77297558,77297833,77340376,77410980,77417638,77483316,77486307,77518563,77521826,77535846,77558601,	77282373,77287127,77293960,77297728,77297947,77340568,77411071,77417715,77483359,77486352,77518727,77521943,77536038,77559966,	77282313	77558667
ENST00000370759.4	chr1	+	78045965	78138444	78045965,78080674,78094951,78119392,78125880,78135591,	78046334,78080860,78095132,78119499,78125962,78138444,	78046094	78135740
ENST00000371129.4	chr1	+	62597519	62606313	62597519,62598695,62601081,62601768,62602284,62603968,62604632,	62598061,62598806,62601196,62601882,62602380,62604235,62606313,	62597566	62604814
ENST00000371069.5	chr1	+	65309542	65415871	65309542,65364634,65365884,65366047,65379401,65384192,65385711,65386811,65388335,65389255,65389546,65392430,65394897,65398812,65401760,65405869,65408640,65411249,65412923,	65309938,65364785,65365934,65366196,65379524,65384326,65385906,65386929,65388415,65389449,65389627,65392865,65395032,65398881,65401880,65406133,65408783,65411426,65415871,	65309745	65413022
ENST00000327299.8	chr1	+	65148202	65232145	65148202,65190709,65218753,65224751,65226062,	65148552,65190829,65218926,65224870,65232145,	65148407	65226174
ENST00000371065.9	chr1	+	65420667	65436007	65420667,65425302,65429861,65431802,	65420740,65425378,65430048,65436007,	65420724	65431916
ENST00000651257.2	chr1	+	64470128	64693053	64470128,64550593,64582155,64602805,64629354,64632598,64634043,64641819,64647800,64652160,64653757,64654685,64658704,64663694,64664497,64666056,64671563,64673157,64673347,64675400,64675896,64676894,64678158,64679594,64681257,64682004,64691322,	64470942,64550656,64582304,64602912,64629481,64632743,64634260,64641969,64648034,64652310,64653881,64654803,64658873,64663837,64664679,64666167,64671686,64673257,64673464,64675561,64675983,64677011,64678310,64679756,64681335,64682106,64693053,	64470744	64691558
ENST00000370608.8	chr1	-	84925582	84997113	84925582,84929557,84931361,84937754,84937980,84939552,84940878,84947032,84952242,84952445,84956430,84958528,84965548,84996795,	84926721,84929679,84931568,84937877,84938082,84939702,84940991,84947132,84952339,84952530,84956584,84958702,84965708,84997113,	84926687	84996872
ENST00000477717.6	chr1	+	76867479	77067546	76867479,76868496,77044203,77050257,77062974,	76867690,76868742,77044613,77050365,77067546,	76867675	77063203
ENST00000317868.9	chr1	+	62784131	62865516	62784131,62803718,62805171,62816574,62819004,62821138,62829039,62834037,62834775,62841427,62863991,	62784273,62803862,62805255,62816808,62819335,62821209,62829176,62834116,62834852,62841547,62865516,	62803786	62864156
ENST00000370742.4	chr1	-	78889763	79006730	78889763,78891523,78893097,78917633,78917829,78920182,78921612,78926885,78936294,78937806,78938099,78939187,78946273,79005069,79006632,	78891216,78891692,78893189,78917700,78918050,78920386,78921786,78927091,78936411,78937990,78938279,78939258,78946426,79005219,79006730,	78891156	79006654
ENST00000357771.5	chr1	-	38874068	38881587	38874068,38881431,	38876193,38881587,	38874553	38876098
ENST00000260505.13	chr1	-	83865023	83999132	83865023,83882962,83890320,83904078,83906328,83907455,83911164,83917603,83919698,83921086,83921246,83929135,83933607,83937851,83942462,83947123,83948627,83949864,83951844,83952186,83998930,	83870082,83883136,83890481,83904159,83906463,83907661,83911363,83917690,83919834,83921160,83921394,83929230,83933766,83938016,83942679,83947282,83948695,83949986,83951976,83952387,83999132,	83869964	83952211
ENST00000370574.4	chr1	-	85649416	85708433	85649416,85657846,85677235,85678700,85680835,85702156,85706077,85706248,85706441,85707628,	85654098,85657971,85677313,85678781,85680904,85702260,85706163,85706355,85706507,85708433,	85654060	85708284
ENST00000421030.7	chr1	+	54641785	54710266	54641785,54651948,54652852,54665166,54668853,54670496,54670799,54673090,54673700,54674015,54678741,54679262,54679890,54682655,54686257,54692423,54695375,54700320,54701142,54702089,54702622,54706434,54709013,54709945,	54641968,54651983,54654157,54665240,54668937,54670576,54670929,54673186,54673805,54674151,54678854,54679439,54680045,54682794,54686448,54692561,54695490,54700461,54701322,54702245,54702745,54706537,54709076,54710266,	54652926	54710184
ENST00000370757.8	chr1	+	78490973	78540701	78490973,78492671,78536405,	78491236,78493541,78540701,	78492743	78536684
ENST00000370544.10	chr1	+	87328879	87348923	87328879,87332012,87339535,87340046,87344787,	87329244,87332251,87339632,87340202,87348923,	87332015	87344793
ENST00000257181.10	chr1	+	52404601	52420836	52404601,52405679,52408568,52411114,52412513,52413878,52414620,52414761,52415337,52416647,	52404879,52405839,52408690,52411200,52412624,52413991,52414647,52414859,52415386,52420836,	52404749	52416687
ENST00000370812.8	chr1	-	77088988	77219430	77088988,77122274,77154448,77161294,77161593,77163845,77166718,77169259,77206639,77210435,77219309,	77092490,77122359,77154621,77161405,77161711,77163942,77166830,77169395,77206731,77210489,77219430,	77092376	77219402
ENST00000357001.3	chr1	-	42162689	42164745	42162689,42163402,42164637,	42162970,42163610,42164745,	42162908	42164712
ENST00000635253.2	chr1	-	62454725	62688386	62454725,62457537,62473981,62475207,62475706,62476066,62477699,62487397,62488933,62492703,62494274,62495580,62496338,62504629,62505681,62507961,62510576,62513443,62513715,62528150,62529276,62535492,62537890,62539544,62539751,62542607,62543655,62544946,62552731,62555824,62558988,62561616,62577261,62578827,62583183,62586506,62618705,62619899,62625258,62631239,62633497,62634772,62636536,62647690,62648105,62648414,62653724,62653983,62663024,62688226,	62455456,62457705,62474088,62475351,62475943,62476156,62477825,62487412,62489065,62492847,62494467,62495681,62496497,62504782,62505816,62508058,62510673,62513606,62513898,62528305,62529446,62535632,62538061,62539658,62539892,62542703,62543745,62545039,62552901,62555989,62559220,62561703,62577363,62578966,62583254,62586624,62618868,62619993,62625401,62631405,62633578,62634922,62636603,62647776,62648318,62648544,62653793,62654159,62663130,62688386,	62455416	62688264
ENST00000357731.10	chr1	-	71395942	72282539	71395942,71592816,71611025,71698007,71776171,71935078,72282318,	71407570,71592968,71611146,71698139,71776297,71935311,72282539,	71407448	72282494
ENST00000517870.2	chr1	+	52633167	52657065	52633167,52642862,52656789,	52633675,52643002,52657065,	52633493	52657037
ENST00000436063.7	chr1	-	93866283	93879206	93866283,93870682,93872071,93873118,93875644,93876267,93879076,	93869944,93870792,93872236,93873214,93875783,93877862,93879206,	93869853	93879148
ENST00000370571.7	chr1	-	85729232	86156772	85729232,85734748,85737395,85744665,85745440,85761395,85761530,85775673,85781219,85783495,85784112,85784258,85786353,85816787,85818033,85823535,85823684,85838584,85841221,85842067,85842339,85847664,85849352,85868518,85868781,85874648,85875276,85877121,85889559,85895857,85896020,85896355,85907193,85908597,85909949,85911379,85961248,85965008,85970226,85971339,85987600,86017150,86022239,86022537,86022832,86022953,86031877,86033869,86046824,86050123,86057930,86059120,86063714,86089173,86092266,86112566,86115324,86124844,86146118,86156340,	85730692,85734964,85737505,85744834,85745506,85761422,85761566,85775709,85781273,85783558,85784166,85784366,85786461,85816895,85818087,85823589,85823738,85838638,85841278,85842121,85842393,85847772,85849406,85868626,85868835,85874702,85875330,85877175,85889613,85895902,85896065,85896409,85907247,85908651,85910003,85911433,85961293,85965062,85970271,85971393,85987654,86017204,86022293,86022591,86022877,86023007,86031922,86033923,86046869,86050177,86057975,86059174,86063759,86089227,86092320,86112620,86115378,86126214,86146183,86156772,	85730548	86156396
ENST00000361314.5	chr1	+	52602370	52609051	52602370,52606683,52608261,	52602547,52606945,52609051,	52602409	52608422
ENST00000271227.11	chr1	+	94820356	94895246	94820356,94820948,94824492,94827506,94828492,94837710,94839947,94841999,94845277,94857334,94864742,94867330,94891129,94892280,94894817,	94820478,94821056,94824635,94827643,94828586,94837871,94840037,94842124,94845464,94857500,94864899,94867417,94891267,94892517,94895246,	94820451	94894919
